"";"F1"
"387";-1,95484375774067
"388";0,571429719606361
"389";0,307864012158265
"390";0,609462940053791
"391";1,45413152100657
"392";0,412017616052111
"393";0,631483804962372
"394";1,35975004162936
"395";-0,380209032850537
"396";0,571816235218164
"397";1,19688397808911
"398";0,312018070103065
"399";0,78110827212304
"400";0,375025518888858
"401";1,00258112386968
"402";0,520980717306221
"403";0,431779566857727
"404";0,484118917306604
"405";-1,46556954912513
"406";-0,136343213848939
"407";0,0305132364417112
"408";1,12698600332384
"409";0,0842566547000965
"410";-0,0512050493620616
"411";0,664441595505023
"412";0,293366693523081
"413";0,111098245302022
"414";-0,339079579555318
"415";-1,35446265531605
"416";0,281561981036082
"417";1,14528926923923
"418";-0,354318510666225
"419";1,35982038641453
"420";1,44682084881989
"421";-0,503570004833942
"422";0,892965523375946
"423";1,54686794239982
"424";1,72193033568128
"425";-1,44619464847799
"426";-0,734673789015991
"427";-0,571415372455527
"428";0,0183336089216741
"429";-0,0753250654383354
"430";0,00121052670003838
"431";0,273386034370442
"432";0,0560963067474708
"433";-0,396340144343516
"434";1,72193033568128
"435";0,0809186593104788
"436";0,321077941820864
"437";0,377971767579123
"438";-1,87746442122242
"439";-0,836400098047521
"440";1,72193033568128
"441";-0,401753494648508
"442";1,15346580292695
"443";0,755338025538909
"444";-1,08914045520122
"445";-0,236220068169221
"446";-0,581335413848835
"447";-0,106885517039439
"448";0,0582634039047263
"449";0,0444253657874337
"450";0,267791174819577
"451";-1,41570973039267
"452";0,822547627656864
"453";-0,143586204020478
"454";0,0380988466746889
"455";-0,0847634335917237
"456";-1,54246513216047
"457";-0,115466301830985
"458";0,261501306295258
"459";-0,0673783437356807
"460";0,351209251100903
"461";0,0651682621951733
"462";-1,06921535043341
"463";0,796884399225971
"464";1,09190118064594
"465";-0,953092909827407
"466";-1,23608278999272
"467";0,0908193432092164
"468";1,45413152100657
"469";-0,728879457048739
"470";-0,880193012658244
"471";-1,50872255833842
"472";-0,685344120256091
"473";-0,943571187259599
"474";1,36855664206083
"475";-0,776583090882505
"476";-0,756397828272325
"477";-0,409125422050731
"478";0,079074185337914
"479";-0,656235903096277
"480";0,297718031631134
"481";0,796884399225971
"482";-1,50746713909773
"483";0,488266250250199
"484";-1,30665533168372
"485";0,186860678427602
"486";0,787604947423123
"487";-0,408929953424273
"488";-1,07698825000657
"489";-1,15724498031736
"490";1,36855664206083
"491";-0,816011266063447
"492";0,79640075990563
"493";-1,44208488307402
"494";-1,075578486601
"495";1,15149801143021
"496";-0,281861039984558
"497";-0,660814813752882
"498";-0,255674235802192
"499";-0,0806143453033918
"500";-0,0239482568818619
"501";-0,521353451342472
"502";-1,50774947284652
"503";0,891714570528348
"504";-0,143068087401309
"505";-0,387279219323451
"506";-0,67915609113713
